Hyperparameters,Results,Additional classes
"{'Name Experiment': 'Learning Blanco with Dense Model; no TEM (CIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155316e012d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155316b52790>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.43793525, 'precision': 0.19713887029738148, 'recall': 0.22864961621662038, 'f1_score': 0.19903230503868668, 'confusion_matrix': array([[ 14,  56, 114,   0,   0,   0,   0],
       [ 23,  47, 149,   0,   0,   0,   0],
       [ 26,  77, 161,   0,   0,   0,   0],
       [  0,  27,  42,   0,   0,   0,   0],
       [  0,  26,  38,   0,   0,   0,   0],
       [  0,  19,  29,   0,   0,   0,   0],
       [  0,  20,  32,   0,   0,   0,   0]]), 'forgetting_measure': [0.4470276, 0.40980121, 0.20922472]}","{""Task 0 had these additional classes included:"": [""sheila"", ""six"", ""stop""], ""Task 1 had these additional classes included:"": [""three"", ""tree""], ""Task 2 had these additional classes included:"": [""two"", ""up""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; no TEM (CIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155316e012d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155316b52790>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4482844, 'precision': 0.21965811965811965, 'recall': 0.24711937502439282, 'f1_score': 0.21188110494701209, 'confusion_matrix': array([[ 18,  23, 103,   0,   0,   0,   0],
       [ 18,  29,  92,   0,   0,   0,   0],
       [ 18,  30, 110,   0,   0,   0,   0],
       [  0,   6,  32,   0,   0,   0,   0],
       [  0,   9,  45,   0,   0,   0,   0],
       [  0,   8,  17,   0,   0,   0,   0],
       [  0,  12,  30,   0,   0,   0,   0]]), 'forgetting_measure': [0.40124417, 0.28760678, -0.06710221]}","{""Task 0 had these additional classes included:"": [""sheila"", ""six"", ""stop""], ""Task 1 had these additional classes included:"": [""three"", ""tree""], ""Task 2 had these additional classes included:"": [""two"", ""up""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; with TEM (CIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552d65bd910>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d67c77d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.60032065, 'precision': 0.32990773623395575, 'recall': 0.29119669778377002, 'f1_score': 0.2976350066116266, 'confusion_matrix': array([[ 54,  96,  16,   5,   8,   5,   1,   1,   0],
       [ 33, 257,  24,  14,   2,  11,  11,   3,   0],
       [  9,  70,  21,   6,   2,   5,   0,   0,   0],
       [ 12,  42,   6,  14,   4,   2,   3,   0,   0],
       [ 12,  28,   2,   5,  11,   4,   1,   0,   0],
       [  5,  22,   4,   1,   1,   5,   1,   0,   0],
       [  3,  31,   5,   3,   4,   9,   3,   1,   2],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0]]), 'forgetting_measure': [0.6091711, 0.18887748, 0.32496238]}","{""Task 0 had these additional classes included:"": [""four"", ""go"", ""happy""], ""Task 1 had these additional classes included:"": [""house"", ""left""], ""Task 2 had these additional classes included:"": [""marvel"", ""nine""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; with TEM (CIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552d65bd910>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d67c77d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4900464, 'precision': 0.22548182062403507, 'recall': 0.21742731541703025, 'f1_score': 0.21334150960898781, 'confusion_matrix': array([[ 14, 102,  13,   5,   4,   7,   3,   0,   0],
       [ 20, 139,  32,  13,   4,  15,   6,   1,   1],
       [  8,  48,   3,   5,   1,   3,   1,   0,   0],
       [  7,  30,   2,   9,   3,   3,   1,   0,   0],
       [  7,  12,   2,   6,   1,   2,   0,   0,   0],
       [  4,  22,   2,   0,   1,   2,   4,   0,   1],
       [  3,  15,   5,   0,   0,   6,   2,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0]]), 'forgetting_measure': [0.5512532, 0.43835777, 0.3472172]}","{""Task 0 had these additional classes included:"": [""four"", ""go"", ""happy""], ""Task 1 had these additional classes included:"": [""house"", ""left""], ""Task 2 had these additional classes included:"": [""marvel"", ""nine""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; no TEM (CIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e9be5410>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552f83ffcd0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4853488, 'precision': 0.17771263274982444, 'recall': 0.22807268553321854, 'f1_score': 0.19502914455045752, 'confusion_matrix': array([[  0,  77,  53,   1,   0,   0,   0],
       [  0, 149, 125,   0,   0,   0,   0],
       [  0, 166,  91,   1,   0,   0,   0],
       [  0,  59,  18,   0,   0,   0,   0],
       [  0,  44,  16,   0,   0,   0,   0],
       [  0,  37,   7,   0,   0,   0,   0],
       [  0,  50,   6,   0,   0,   0,   0]]), 'forgetting_measure': [0.45224062, 0.16890182, 0.27903762]}","{""Task 0 had these additional classes included:"": [""off"", ""on"", ""one""], ""Task 1 had these additional classes included:"": [""right"", ""seven""], ""Task 2 had these additional classes included:"": [""sheila"", ""six""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; no TEM (CIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e9be5410>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552f83ffcd0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.50571383, 'precision': 0.18208225819063257, 'recall': 0.2496030540974361, 'f1_score': 0.20588810429114612, 'confusion_matrix': array([[ 0, 57, 56,  0,  0,  0,  0],
       [ 0, 95, 83,  0,  0,  0,  0],
       [ 0, 72, 76,  0,  0,  0,  0],
       [ 0, 45, 12,  0,  0,  0,  0],
       [ 0, 26, 11,  0,  0,  0,  0],
       [ 0, 22,  9,  0,  0,  0,  0],
       [ 0, 31,  5,  0,  0,  0,  0]]), 'forgetting_measure': [0.53031543, 0.37613502, 0.18658862]}","{""Task 0 had these additional classes included:"": [""off"", ""on"", ""one""], ""Task 1 had these additional classes included:"": [""right"", ""seven""], ""Task 2 had these additional classes included:"": [""sheila"", ""six""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; with TEM (CIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552dbf4da50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e3dadf90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.602678, 'precision': 0.36589462465751124, 'recall': 0.32506814600638367, 'f1_score': 0.31528919938548044, 'confusion_matrix': array([[ 94,  82,   3,   7,   3,   2,   0],
       [ 53, 292,  11,  12,   3,   1,   0],
       [ 21,  65,   8,   5,   3,   1,   0],
       [ 10,  59,   1,  10,   4,   0,   0],
       [  7,  30,   2,   8,   3,   0,   0],
       [ 17,  26,   0,   3,   0,   2,   0],
       [ 14,  28,   1,   5,   2,   2,   0]]), 'forgetting_measure': [0.6083844, 0.25657853, 0.14880018]}","{""Task 0 had these additional classes included:"": [""four"", ""go"", ""happy""], ""Task 1 had these additional classes included:"": [""house"", ""left""], ""Task 2 had these additional classes included:"": [""marvel"", ""nine""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; with TEM (CIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552dbf4da50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e3dadf90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4941478, 'precision': 0.33894075360640707, 'recall': 0.27855546787528692, 'f1_score': 0.27045484285274076, 'confusion_matrix': array([[ 32, 104,   5,   8,   1,   1,   0],
       [ 45, 143,   5,   9,   2,   2,   0],
       [ 20,  51,   6,   3,   3,   0,   0],
       [ 10,  30,   0,   7,   0,   1,   0],
       [  9,  32,   1,   2,   1,   0,   0],
       [  7,  19,   0,   0,   0,   3,   0],
       [ 18,  17,   1,   1,   0,   1,   0]]), 'forgetting_measure': [0.57990838, 0.4839675, 0.37457016]}","{""Task 0 had these additional classes included:"": [""four"", ""go"", ""happy""], ""Task 1 had these additional classes included:"": [""house"", ""left""], ""Task 2 had these additional classes included:"": [""marvel"", ""nine""]}"
"{'Name Experiment': 'Learning Blanco with GRU Model; no TEM (CIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552c6235410>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d01dfcd0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.46676738, 'precision': 0.24977981088032807, 'recall': 0.2897005547950424, 'f1_score': 0.26096314522025415, 'confusion_matrix': array([[ 45, 120,  25,   0,   0,   8,   7],
       [ 64, 146,  23,   0,   0,  18,   6],
       [ 47, 126,  11,   0,   1,  15,   3],
       [  6,  37,  13,   0,   0,   6,   2],
       [  9,  48,   7,   0,   0,   5,   2],
       [ 20,   6,   7,   0,   0,  24,   7],
       [ 15,   2,   5,   0,   0,  10,   4]]), 'forgetting_measure': [0.44108207, 0.2179967, 0.278316]}","{""Task 0 had these additional classes included:"": [""cat"", ""dog"", ""down""], ""Task 1 had these additional classes included:"": [""eight"", ""five""], ""Task 2 had these additional classes included:"": [""four"", ""go""]}"
"{'Name Experiment': 'Learning Blanco with GRU Model; no TEM (CIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552c6235410>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d01dfcd0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.41688128, 'precision': 0.2060242682146519, 'recall': 0.23280236967016026, 'f1_score': 0.20417002261589678, 'confusion_matrix': array([[ 17,  93,  23,   0,   0,   2,   5],
       [ 24, 101,  21,   0,   0,   3,  12],
       [ 22,  99,  15,   0,   0,   2,   5],
       [  8,  30,   9,   0,   0,   1,   0],
       [  7,  23,  10,   0,   0,   0,   1],
       [ 29,   7,   6,   0,   0,   1,   6],
       [  9,   2,   6,   0,   0,   0,   1]]), 'forgetting_measure': [0.45270157, 0.500117, 0.31011826]}","{""Task 0 had these additional classes included:"": [""cat"", ""dog"", ""down""], ""Task 1 had these additional classes included:"": [""eight"", ""five""], ""Task 2 had these additional classes included:"": [""four"", ""go""]}"
