Hyperparameters,Results,Classes in task
"{'Name Experiment': 'Learning Blanco with Dense Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155317910ad0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1553175c4110>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.37604262, 'precision': 0.36609461444856072, 'recall': 0.37250174161419324, 'f1_score': 0.34776897837797495, 'confusion_matrix': array([[ 28,  27,   9,  10,  99],
       [ 28,  32,   6,  14, 106],
       [ 23,  39,   8,  18,  80],
       [ 24,  41,   8,   5,  96],
       [ 39,  42,  12,  16,  90]]), 'forgetting_measure': [0.37628415, 0.02740564, -0.052129522]}","{""Every task  has these classes:"": [""three"", ""bed"", ""down"", ""six"", ""right""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155317910ad0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1553175c4110>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.40567359, 'precision': 0.3796277283804859, 'recall': 0.40357185935408947, 'f1_score': 0.3654672805560693, 'confusion_matrix': array([[30, 31,  0,  6, 46],
       [26, 26,  0,  4, 50],
       [33, 37,  0,  7, 50],
       [22, 39,  0, 11, 62],
       [31, 33,  0,  5, 51]]), 'forgetting_measure': [0.42082593, 0.16782305, -0.15597165]}","{""Every task  has these classes:"": [""three"", ""bed"", ""down"", ""six"", ""right""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; with TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15533b42ed50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552dab9df10>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4796437, 'precision': 0.48655082426502654, 'recall': 0.4833239135592077, 'f1_score': 0.4671598123136896, 'confusion_matrix': array([[ 68,  81,  20,  13,   7],
       [ 57, 101,  22,  18,   6],
       [ 34,  72,  35,  49,   5],
       [ 25,  66,  26,  64,   6],
       [ 41,  40,  15,  24,   5]]), 'forgetting_measure': [0.43863566, 0.15708922, -0.98433894]}","{""Every task  has these classes:"": [""marvel"", ""left"", ""zero"", ""down"", ""go""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; with TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15533b42ed50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552dab9df10>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.42474203, 'precision': 0.42757349527877974, 'recall': 0.42016099970442551, 'f1_score': 0.41583487389426376, 'confusion_matrix': array([[30, 40, 15, 38,  6],
       [49, 47, 17, 37,  9],
       [24, 33, 25, 18,  0],
       [25, 40, 22, 35,  5],
       [26, 24,  7, 24,  4]]), 'forgetting_measure': [0.44544738, 0.08929051, 0.08179527]}","{""Every task  has these classes:"": [""marvel"", ""left"", ""zero"", ""down"", ""go""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552c611abd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552c6ced610>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.45518274, 'precision': 0.26795659295659295, 'recall': 0.39657522123893806, 'f1_score': 0.2812494150280361, 'confusion_matrix': array([[  0, 173,   1,   0,   0],
       [  1, 221,   4,   0,   0],
       [  0, 199,   1,   0,   0],
       [  0, 171,   3,   0,   0],
       [  0, 124,   2,   0,   0]]), 'forgetting_measure': [0.47720612, 0.3368304, -0.6564199]}","{""Every task  has these classes:"": [""tree"", ""one"", ""cat"", ""on"", ""marvel""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552c611abd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552c6ced610>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.47755228, 'precision': 0.33316869887328292, 'recall': 0.40195360195360196, 'f1_score': 0.30402643263559508, 'confusion_matrix': array([[  0, 121,   0,   0,   0],
       [  0, 178,   4,   0,   0],
       [  0, 122,   4,   0,   0],
       [  0,  81,   0,   0,   0],
       [  0,  87,   3,   0,   0]]), 'forgetting_measure': [0.51276888, 0.33899733, -0.51468164]}","{""Every task  has these classes:"": [""tree"", ""one"", ""cat"", ""on"", ""marvel""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; with TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552c68ffbd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552c61cbe50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4247801, 'precision': 0.44715248336433304, 'recall': 0.43935981435981435, 'f1_score': 0.39291383059656222, 'confusion_matrix': array([[  0,  50,  14,  72,   0],
       [  0,  81,  18, 122,   1],
       [  0,  65,  35,  76,   0],
       [  0,  56,  26, 139,   1],
       [  0,  59,   5,  79,   1]]), 'forgetting_measure': [0.49539898, 0.5945733, -1.1641039]}","{""Every task  has these classes:"": [""no"", ""yes"", ""one"", ""four"", ""nine""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; with TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552c68ffbd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552c61cbe50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.45814623, 'precision': 0.35571759563179155, 'recall': 0.42758381015030596, 'f1_score': 0.38009303933867282, 'confusion_matrix': array([[  0,  32,  10,  50,   0],
       [  0,  57,  17,  49,   1],
       [  0,  43,  14,  56,   0],
       [  1,  49,  31, 102,   1],
       [  0,  39,   7,  41,   0]]), 'forgetting_measure': [0.54701675, 0.38392845, 0.00071283133]}","{""Every task  has these classes:"": [""no"", ""yes"", ""one"", ""four"", ""nine""]}"
"{'Name Experiment': 'Learning Blanco with GRU Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552c95cded0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552c5113e50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.44514593, 'precision': 0.28608958608958608, 'recall': 0.39747582444830153, 'f1_score': 0.28956428547506615, 'confusion_matrix': array([[207,   9,   2,   0,   0],
       [177,   7,   1,   0,   0],
       [129,   6,   0,   1,   0],
       [181,   9,   1,   0,   0],
       [164,   6,   0,   0,   0]]), 'forgetting_measure': [0.42489461, -0.107636206, -0.04953935]}","{""Every task  has these classes:"": [""yes"", ""bed"", ""five"", ""tree"", ""six""]}"
"{'Name Experiment': 'Learning Blanco with GRU Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552c95cded0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552c5113e50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.42792378, 'precision': 0.26097642936008833, 'recall': 0.39651656754460495, 'f1_score': 0.28085131894484412, 'confusion_matrix': array([[126,   6,   0,   0,   0],
       [104,   3,   0,   0,   0],
       [109,  10,   0,   0,   0],
       [113,   8,   0,   0,   0],
       [111,  10,   0,   0,   0]]), 'forgetting_measure': [0.43202099, 0.16691156, -0.3371155]}","{""Every task  has these classes:"": [""yes"", ""bed"", ""five"", ""tree"", ""six""]}"
