Hyperparameters,Results,Classes in task
"{'Name Experiment': 'Learning Blanco with Dense Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155316fcbe10>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15533b4329d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.26371932, 'precision': 0.15827748739315223, 'recall': 0.22848970374175873, 'f1_score': 0.17356468757124727, 'confusion_matrix': array([[ 23, 114,  66,   1,   0],
       [ 33, 138,  58,   0,   0],
       [ 18,  90,  82,   2,   0],
       [ 14,  86,  36,   0,   0],
       [ 10,  87,  42,   0,   0]]), 'forgetting_measure': [0.2689625, -0.04691207, 0.14548144]}","{""Task 0 has these classes:"": [""off"", ""house"", ""three"", ""bird"", ""happy""], ""Task 1 has these classes:"": [""off"", ""go"", ""sheila"", ""down"", ""six""], ""Task 2 has these classes:"": [""off"", ""house"", ""three"", ""bird"", ""happy""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155316fcbe10>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15533b4329d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.20657693, 'precision': 0.092, 'recall': 0.21322272498743086, 'f1_score': 0.1238003131620153, 'confusion_matrix': array([[  0, 132,  42,   0,   0],
       [  0,  80,  37,   0,   0],
       [  0,  84,  52,   0,   0],
       [  0,  46,  38,   0,   0],
       [  0,  58,  31,   0,   0]]), 'forgetting_measure': [0.20264596, -0.058194883, 0.054994486]}","{""Task 0 has these classes:"": [""off"", ""house"", ""three"", ""bird"", ""happy""], ""Task 1 has these classes:"": [""off"", ""go"", ""sheila"", ""down"", ""six""], ""Task 2 has these classes:"": [""off"", ""house"", ""three"", ""bird"", ""happy""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; with TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15533b4327d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d2b65850>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.33117864, 'precision': 0.3149452318240729, 'recall': 0.3273206065692181, 'f1_score': 0.2986886495131092, 'confusion_matrix': array([[138,  24,  47,  20,   3],
       [ 62, 114,  36,   2,   4],
       [ 69,  26,  90,  11,   3],
       [ 92,  19,  42,   9,   1],
       [ 41,  21,  25,   0,   1]]), 'forgetting_measure': [0.3174238, 0.0053091855, -0.14136687]}","{""Task 0 has these classes:"": [""marvel"", ""left"", ""happy"", ""go"", ""six""], ""Task 1 has these classes:"": [""marvel"", ""tree"", ""bed"", ""dog"", ""marvel""], ""Task 2 has these classes:"": [""marvel"", ""left"", ""happy"", ""go"", ""six""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; with TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15533b4327d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d2b65850>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.1670287, 'precision': 0.22983951344871686, 'recall': 0.19642175146928792, 'f1_score': 0.17111993898633404, 'confusion_matrix': array([[52, 37, 24,  6,  2],
       [71, 49, 18,  5,  1],
       [77, 51, 19,  6,  1],
       [68, 35, 18,  9,  1],
       [22, 11, 15,  1,  1]]), 'forgetting_measure': [0.14184739, -0.46081635, 0.26633114]}","{""Task 0 has these classes:"": [""marvel"", ""left"", ""happy"", ""go"", ""six""], ""Task 1 has these classes:"": [""marvel"", ""tree"", ""bed"", ""dog"", ""marvel""], ""Task 2 has these classes:"": [""marvel"", ""left"", ""happy"", ""go"", ""six""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552d263ff10>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552cb959210>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.21657857, 'precision': 0.1255228339735382, 'recall': 0.19225742249215177, 'f1_score': 0.12340077387392483, 'confusion_matrix': array([[  0, 152,  25,   0,   9],
       [  0, 153,  37,   0,  17],
       [  0, 160,  36,   0,  12],
       [  0, 115,  12,   0,   9],
       [  0, 130,  25,   0,   8]]), 'forgetting_measure': [0.18651716, -0.2122092, -0.04875297]}","{""Task 0 has these classes:"": [""bed"", ""on"", ""two"", ""left"", ""sheila""], ""Task 1 has these classes:"": [""bed"", ""sheila"", ""house"", ""down"", ""left""], ""Task 2 has these classes:"": [""bed"", ""on"", ""two"", ""left"", ""sheila""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552d263ff10>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552cb959210>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.2005699, 'precision': 0.17065118729232515, 'recall': 0.1972167423750811, 'f1_score': 0.11479289790735883, 'confusion_matrix': array([[  0,  92,  26,   0,   1],
       [  0,  73,  26,   0,   1],
       [  0, 138,  43,   0,   3],
       [  0,  54,   9,   0,   0],
       [  0, 100,  31,   0,   3]]), 'forgetting_measure': [0.24306667, 0.52594995, -1.1125247]}","{""Task 0 has these classes:"": [""bed"", ""on"", ""two"", ""left"", ""sheila""], ""Task 1 has these classes:"": [""bed"", ""sheila"", ""house"", ""down"", ""left""], ""Task 2 has these classes:"": [""bed"", ""on"", ""two"", ""left"", ""sheila""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; with TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552b502a4d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552b44bd590>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.3089058, 'precision': 0.12724697814825398, 'recall': 0.22470065746505857, 'f1_score': 0.1351631667159617, 'confusion_matrix': array([[ 36,   1,   0, 156,   0],
       [ 20,   0,   0, 148,   0],
       [ 15,   0,   0, 116,   0],
       [ 14,   1,   0, 223,   0],
       [ 16,   0,   0, 154,   0]]), 'forgetting_measure': [0.33038875, 0.3964454, -0.9905002]}","{""Task 0 has these classes:"": [""bed"", ""sheila"", ""four"", ""happy"", ""six""], ""Task 1 has these classes:"": [""bed"", ""tree"", ""two"", ""off"", ""house""], ""Task 2 has these classes:"": [""bed"", ""sheila"", ""four"", ""happy"", ""six""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; with TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552b502a4d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552b44bd590>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.2189334, 'precision': 0.09802581837529054, 'recall': 0.21538261322228008, 'f1_score': 0.11311410064773295, 'confusion_matrix': array([[ 17,   0,   0,  96,   0],
       [ 25,   0,   0, 126,   0],
       [  5,   0,   0,  93,   0],
       [ 10,   0,   0, 126,   0],
       [ 10,   0,   0,  92,   0]]), 'forgetting_measure': [0.27828944, 0.62496865, -1.6267204]}","{""Task 0 has these classes:"": [""bed"", ""sheila"", ""four"", ""happy"", ""six""], ""Task 1 has these classes:"": [""bed"", ""tree"", ""two"", ""off"", ""house""], ""Task 2 has these classes:"": [""bed"", ""sheila"", ""four"", ""happy"", ""six""]}"
"{'Name Experiment': 'Learning Blanco with GRU Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552ac319bd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552ac9e1ed0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.2639265, 'precision': 0.08925925925925926, 'recall': 0.19784832717492398, 'f1_score': 0.10707995284654323, 'confusion_matrix': array([[  0,  12, 134,   0,   0],
       [  0,   9, 138,   0,   2],
       [  0,  19, 248,   0,   0],
       [  0,  10, 143,   0,   1],
       [  0,  10, 174,   0,   0]]), 'forgetting_measure': [0.21228413, -0.4334919, 0.09569216]}","{""Task 0 has these classes:"": [""on"", ""nine"", ""dog"", ""right"", ""yes""], ""Task 1 has these classes:"": [""on"", ""one"", ""left"", ""tree"", ""two""], ""Task 2 has these classes:"": [""on"", ""nine"", ""dog"", ""right"", ""yes""]}"
"{'Name Experiment': 'Learning Blanco with GRU Model; no TEM (DIL)', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552ac319bd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552ac9e1ed0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.30406636, 'precision': 0.06466666666666666, 'recall': 0.2, 'f1_score': 0.09773299748110831, 'confusion_matrix': array([[  0,   0,  94,   0,   0],
       [  0,   0,  99,   0,   0],
       [  0,   0, 194,   0,   0],
       [  0,   0, 103,   0,   0],
       [  0,   0, 110,   0,   0]]), 'forgetting_measure': [0.28650463, -0.18388943, 0.15532652]}","{""Task 0 has these classes:"": [""on"", ""nine"", ""dog"", ""right"", ""yes""], ""Task 1 has these classes:"": [""on"", ""one"", ""left"", ""tree"", ""two""], ""Task 2 has these classes:"": [""on"", ""nine"", ""dog"", ""right"", ""yes""]}"
